id;amount;type;create_date;create_by
1;28594;Specialist Circles;2022-07-14;primary Account
2;35998;website contextually-based;2022-07-13;Awesome web-enabled
3;11866;Arkansas;2022-07-13;extend technologies
4;96302;Automotive seamless;2022-07-14;Generic sky
5;2313;magnetic synthesize;2022-07-13;incubate
6;37808;connecting Pants;2022-07-14;CSS Salad Central
7;99424;payment;2022-07-14;Ohio intuitive
8;54700;Refined bleeding-edge compressing;2022-07-14;override
9;87261;Guinea Florida;2022-07-14;Guiné-Bissau indexing
10;62639;cohesive deposit;2022-07-13;database Associate Parkway
