id;name_product;price;create_date;create_by;note
1;Steel;31485;2022-07-13;quantify monetize Consultant;wireless Handmade
2;Dynamic Pound withdrawal;88209;2022-07-13;Division;Metal
3;models partnerships Infrastructure;91058;2022-07-13;intermediate initiative Generic;Liban
4;Australian;16473;2022-07-13;digital;CFP orange
5;Village;95487;2022-07-13;Dynamic Sports;Mexico yellow Bulgaria
6;Ecuador;66238;2022-07-13;invoice;Bike Shoes Center
7;tangible;62192;2022-07-14;Account;Cheese Consultant online
8;project hacking efficient;50702;2022-07-13;Practical User-friendly Data;sticky Harbors Automotive
9;Checking system-worthy;9545;2022-07-14;Ergonomic relationships back-end;solution Zimbabwe Games
10;Account transmit Incredible;88593;2022-07-13;México Executive Down-sized;transitional
