id;name_store;address_store;create_date;create_by
1;service-desk Uganda Indiana;Consultant;2022-07-13;eyeballs Fantastic Account
2;copy;facilitate;2022-07-13;generation Executive
3;National Singapore;asymmetric;2022-07-13;Intelligent Small
4;optimize firewall invoice;Dollar Manager;2022-07-14;revolutionize Garden
5;Soft;Croatia Focused;2022-07-13;Computer Organized
6;infrastructures auxiliary;facilitate matrix;2022-07-13;Plastic Outdoors European
7;Rustic;architectures;2022-07-13;payment leverage metrics
8;Executive lavender;Steel Program Rubber;2022-07-13;Forge 1080p salmon
9;artificial intuitive Berkshire;ADP Concrete EXE;2022-07-13;Infrastructure redundant
10;synthesize;Louisiana Groves Texas;2022-07-13;Central Fresh transmitting
